1	"Raiz"		"2011-01-04 13:41:10.421875"	"2011-01-04 13:41:10.421875"
2	"Comercial"	"1"	"2011-01-04 13:42:22.953125"	"2011-01-04 13:42:22.953125"
3	"Distribución"	"1"	"2011-01-04 13:42:49.000000"	"2011-01-04 13:42:49.000000"
4	"At Clientes"	"1/2"	"2011-01-04 13:43:08.703125"	"2011-01-04 13:43:08.703125"
5	"Gest Impagados"	"1/2"	"2011-01-04 13:43:19.796875"	"2011-01-04 13:43:19.796875"
6	"Gest Pérdidas"	"1/2"	"2011-01-04 13:43:28.890625"	"2011-01-04 13:43:28.890625"
7	"NNSS"	"1/2"	"2011-01-04 13:46:06.406250"	"2011-01-04 13:46:06.406250"
8	"Mant Acometidas"	"1/2"	"2011-01-04 13:46:15.109375"	"2011-01-04 13:46:15.109375"
9	"Suspensiones"	"1/2/5"	"2011-01-04 13:47:34.093750"	"2011-01-04 13:47:34.093750"
10	"Reanudaciones"	"1/2/5"	"2011-01-04 13:47:42.453125"	"2011-01-04 13:47:42.453125"
11	"Baja por Impago"	"1/2/5"	"2011-01-04 13:47:52.359375"	"2011-01-04 13:47:52.359375"
12	"Reconexiones"	"1/2/5"	"2011-01-04 13:48:05.375000"	"2011-01-04 13:48:05.375000"
13	"Revisión de Baja"	"1/2/5"	"2011-01-04 13:48:22.671875"	"2011-01-04 13:48:22.671875"
14	"Cambio de Emplazamiento de Medidor"	"1/2/4"	"2011-01-04 13:49:15.203125"	"2011-01-04 13:49:15.203125"
15	"Estudio Modificación de Red"	"1/2/4"	"2011-01-04 13:49:36.593750"	"2011-01-04 13:49:36.593750"
16	"Levantamiento por Baja Voluntaria"	"1/2/4"	"2011-01-04 13:50:02.156250"	"2011-01-04 13:50:02.156250"
17	"Reclamo por Artefactos Dañados"	"1/2/4"	"2011-01-04 13:50:30.515625"	"2011-01-04 13:50:30.515625"
18	"Revisión de Datos Suministro"	"1/2/4"	"2011-01-04 13:50:53.984375"	"2011-01-04 13:50:53.984375"
19	"Cambio de Acometidas"	"1/2/8"	"2011-01-04 13:52:54.796875"	"2011-01-04 13:52:54.796875"
20	"Cambio de Medidor"	"1/2/8"	"2011-01-04 13:53:00.656250"	"2011-01-04 13:53:00.656250"
21	"Normalización de suministro"	"1/2/8"	"2011-01-04 13:53:13.625000"	"2011-01-04 13:53:13.625000"
24	"Mantenimiento MT"	"1/3"	"2011-01-06 16:09:53.515625"	"2011-01-06 19:55:48.546875"
25	"Mantenimiento linea 13,2kV"	"1/3/24"	"2011-01-06 16:13:42.343750"	"2011-01-06 16:13:42.343750"
26	"Mantenimiento linea 33kV"	"1/3/24"	"2011-01-06 16:15:14.546875"	"2011-01-06 16:15:14.546875"
27	"Mantenimiento SETA"	"1/3/24"	"2011-01-06 16:17:33.812500"	"2011-01-06 16:17:33.812500"
28	"Extension Red"	"1/3"	"2011-01-06 18:31:18.718750"	"2011-01-06 18:31:18.718750"
29	"Extensión Red BT"	"1/3/28"	"2011-01-06 18:34:09.234375"	"2011-01-06 18:34:09.234375"
30	"Extensión Red MT"	"1/3/28"	"2011-01-06 18:36:12.218750"	"2011-01-06 18:36:12.218750"
31	"Construcción CT Monoposte"	"1/3/28"	"2011-01-06 18:38:20.093750"	"2011-01-06 18:38:20.093750"
32	"Relevamiento de AP"	"1/2/6"	"2011-01-06 19:05:48.375000"	"2011-01-06 19:05:48.375000"
33	"Factibilidad y Conexión de Suministro"	"1/2/7"	"2011-01-06 19:18:09.375000"	"2011-01-06 19:18:09.375000"
34	"Ejecución de Obra NNSS"	"1/2/7"	"2011-01-06 19:30:07.765625"	"2011-01-06 19:30:07.765625"
35	"Fraude por SETA"	"1/2/6"	"2011-01-06 19:33:37.718750"	"2011-01-06 19:33:37.718750"
37	"Inspección y Normalización"	"1/2/6"	"2011-01-06 19:46:52.890625"	"2011-01-06 19:46:52.890625"
38	"Fraude Nocturno/Diurno"	"1/2/6"	"2011-01-06 20:03:11.562500"	"2011-01-06 20:07:10.171875"
39	"Construcción CT Biposte"	"1/3/28"	"2011-01-06 20:08:46.218750"	"2011-01-06 20:09:14.218750"
